Publicerings-id,Konto-id,"Kontots användarnamn",Kontonamn,Beskrivning,"Varaktighet (sek)",Publiceringstid,Permalänk,Inläggstyp,Datakommentar,Datum,Visningar,Räckvidd,Gilla-markeringar,Delningar,Följer,Kommentarer,"Sparade objekt"
18073116953630934,17841401750637512,p4dalarna,"P4 Dalarna","Nu under OS är risken stor för idrottsskador även hemma i tevesoffan. Exempelvis kan plötsliga segergester orsaka en sträckning och att sitta still för länge kan ge ryggproblem.
📺
Christoffer Cajas och Kristin Servold är ett sporttokigt gift par, som också har en gemensam naprapatmottagning i Falun. Där har de stött på skador som tycks ha en direkt koppling till tevetittandet.
📺
Bland annat tipsar de om att låtsas delta i skidskyttet för att röra på sig lite.
/Fanny

📸Mattias Klefbeck/Sveriges Radio
📲Hör mer i appen Sveriges Radio",0,"02/14/2026 03:21",https://www.instagram.com/p/DUvIiupjMtk/,"IG image",,Livstid,9842,6003,55,11,0,0,3
18093823394055120,17841401750637512,p4dalarna,"P4 Dalarna","Våld, porr och annat olämpligt innehåll dyker oombett upp i barns telefoner, och det är svårt att undvika trots att man inte vill se det. 
Det visar en ny rapport från Mediemyndigheten. 

Samuel Wallén Warner, Matilda Karlsson och Elis von Wachenfeldt går i högstadiet på en skola i Falun, och de har alla sett saker de inte vill se när de är inne på sociala medier.
""Det är ju inte kul, man kan ju bli rädd - och det är obehagligt.""

Det som unga oftast gör för att slippa se oönskat innehåll på nätet är att klicka bort och scrolla vidare. Det visar den nya rapporten där Mediemyndigheten har djupintervjuat över 60 barn och ungdomar mellan 12-20 år. 
Men liknande innehåll fortsätter ofta att visas.

Samuel önskar att vuxna tar mer ansvar för att skydda barn från att se hemskt och obehagligt innehåll på internet och i sociala medier. 
""Det borde bildas mer lagar kring vad man får och inte får utsättas för på sociala medier. Men jag tycker också att det är företagens ansvar"", säger han. 

/Jennie-Lie 

Foto: Matilda Bjerlöw/Sveriges Radio",0,"02/16/2026 10:26",https://www.instagram.com/p/DU1CyUoj3z4/,"IG image",,Livstid,18463,11663,86,29,0,2,7
18079831253357372,17841401750637512,p4dalarna,"P4 Dalarna","Är du musiker och vill höras i P4 som är Sveriges största radiokanal? 
✨ 
Då är P4 Nästa Stjärna rätt tävling för dig!
Ansökningsperioden börjar den 11 maj – så börja knåpa på din låt redan nu. 
🎵
Läs mer på: 
https://www.sverigesradio.se/p4-nasta-stjarna
/Frida",0,"02/23/2026 01:21",https://www.instagram.com/p/DVGF-lVFAsJ/,"IG carousel",,Livstid,6645,2921,21,10,0,0,1
17892405306282718,17841401750637512,p4dalarna,"P4 Dalarna","Sverige har drabbats av curlingfeber efter OS-framgångarna. Och det märks i curlinghallen i Borlänge. 
🥌🥌🥌
”Bokningarna bara strömmar in”, säger Mats Bruneflod, som är sekreterare i Borlänge Curling Club.
🥌🥌🥌
Klubben erbjuder prova på-tillfällen för allmänheten och möjlighet för ungdomar att testa på sportlovet – och allt är fullbokat. 
🥌🥌🥌
""Folk har tittat mycket på OS, och curling är en bra tv-sport"", säger Mats om varför intresset skjutit i höjden.

Hör mer i appen Sveriges Radio.
Foto: Emma Hulander/Sveriges Radio
/Karin",0,"02/23/2026 04:52",https://www.instagram.com/p/DVGeGKJCFRE/,"IG image",,Livstid,7634,5070,45,3,0,0,0
18111280276677687,17841401750637512,p4dalarna,"P4 Dalarna","Kriget har splittrat Irina Serhiienkos familj, hon och sönerna flydde men Irinas man är kvar i Ukraina. ”Det är jättesvårt, han är ledsen och vill bo tillsammans med oss”, berättar hon.
⬜️
Det har gått fyra år sedan Rysslands fullskaliga invasion av Ukraina. Idag bor Irina i Falun och det har gått bra för sönerna att anpassa sig till ett liv i Sverige men för Irina, som är välutbildad, har det varit svårare att hitta ett arbete. ""Jag tror att det är en svensk gåta som jag inte riktigt kan förstår.""
⬜️
📲 Hör mer i appen Sveriges Radio
📸 Frida Smedjeby/Sveriges Radio
/Frida",0,"02/24/2026 07:07",https://www.instagram.com/p/DVJSVpnESXO/,"IG image",,Livstid,8636,5766,34,0,0,0,1
17944677008981256,17841401750637512,p4dalarna,"P4 Dalarna","Har du laddat ner appen Sveriges Radio i din telefon? Där kan du lyssna på P4 Dalarnas program var du än befinner dig, få en pushnotis när det händer något nytt i Dalarna och lyssna på våra senaste nyheter. 
📲
Klicka på Min sida längst ner till höger i appen för att ställa in P4 Dalarna som din lokala kanal.
📲
/Frida, digital redaktör",0,"02/26/2026 05:36",https://www.instagram.com/p/DVORlOwja6Q/,"IG carousel",,Livstid,6607,2788,17,0,0,0,0
18122677762499136,17841400158108477,p4gotland,"P4 Gotland Sveriges Radio","Det bubblar ännu av frågor efter att Region Gotland blåste av kokrekommendationen av dricksvattnet i Visby med omnejd i fredags. 💧 I eftermiddag gästar dricksvattenchefen Patrik Johansson vårt eftermiddagsprogram och svarar på dina frågor.

Foto: Gustav Sjöholm/TT",0,"02/02/2026 22:40",https://www.instagram.com/p/DUSTnp-jef2/,"IG image",,Livstid,4775,2641,12,1,0,1,1
18072022805548158,17841400158108477,p4gotland,"P4 Gotland Sveriges Radio","En tredjedel av personalen i den gotländska hemtjänsten är män, och det blir svårt att få ihop schemat om de äldre ska få välja bort manlig personal. Det säger cheferna Marica Gardell och Roger Nilsson på Region Gotlands socialförvaltning.
▪️
Regeringen föreslår att äldre ska få rätt att välja om de vill ha manlig eller kvinnlig personal, efter flera fall av sexuella övergrepp inom hemtjänsten.
▪️
Marica Gardell förstår oron men tror att det finns bättre sätt att förebygga övergrepp.

Hör mer i inslaget på sverigesradio.se/gotland eller i appen Sveriges Radio.",0,"02/01/2026 22:38",https://www.instagram.com/p/DUPuifdiCwa/,"IG image",,Livstid,5765,3319,19,0,0,0,1
17943373299118143,17841400158108477,p4gotland,"P4 Gotland Sveriges Radio","Flygresandet till och från Visby minskade kraftigt 2025 och blev det lägsta antalet sedan 1980, enligt flygplatschef Gunnar Jonasson. Totalt flög 262 430 passagerare via Visby.
🛫
Minskningen beror främst på att BRA slutade flyga från Bromma och att SAS hade för få plan för att öka antalet avgångar från Arlanda.
🛬
Resandet började öka i november när Brommaflyg kommit igång och ökningen har fortsatt hittills i år – pandemiåren 2020 och 2021 ingår inte i jämförelsen.

Hör mer på sverigesradio.se/gotland eller i appen Sveriges Radio.",0,"02/26/2026 23:41",https://www.instagram.com/p/DVQNm4XCHYo/,"IG image",,Livstid,4736,2896,27,0,0,0,1
18091421324286248,17841400158108477,p4gotland,"P4 Gotland Sveriges Radio","Socialnämnden ger hemtjänsten i uppdrag att genomföra flera förbättringar, efter att det uppdagades förra året att flera brukare ska ha utsatts för sexuella övergrepp av en i personalen.
▪️
Åtgärderna innebär att chefer ska utbildas i vad som gäller vid polisanmälan och att avvikelsesystemet ses över.
▪️
Enligt socialnämndens ordförande Håkan Ericsson (S) är det svårt att gardera sig mot övergrepp – och därför är det viktigt att avvikelsehanteringen fungerar.

Hör mer på sverigesradio.se/gotland eller i appen Sveriges Radio.",0,"02/25/2026 22:26",https://www.instagram.com/p/DVNgOXqiDUe/,"IG image",,Livstid,2945,1820,18,0,0,1,0
